Timestamp,Date,Measure,Brale,Mountain Protocol,Angle,Circle,Tether Holdings,Paxos,Verified USD,Fathom,GMO Trust,Membrane Finance,Societe Generale,Stasis,Gemini,Binance,MakerDAO,Aave,Frax Finance,VNX,First Digital Labs,USDD Protocol,BiLira,AUDC Pty Ltd,Stablecorp Digital Currencies Inc. ,ECDD Company Ltd.,Liquity Protocol,Xfers Pte Ltd,Synthentix Protocol Governed by Synthetix DAO,Beanstalk Protocol Governed by Beanstalk DAO,Blackfridge SC Limited,Transfero,Lugh,PT Rupiah Token Indonesia ,Forte Tech Solutions,Near Bridge,Anchored Coins,Arbitrum L1 Custom Gateway,Optimism Bridge,Wormhole Bridge,LayerZero Aptos Bridge
1701734400000,2023-12-05,Total Asset Value (Dollar),914260.97,15480912.66,19714776.48,29284567017.25,92231758645.84,2197254310.00,7745607.40,,32994542.11,1224123.89,11379165.00,134519004.79,98478597.47,4390996715.66,3678103766.85,34816812.16,669655735.51,54420.01,1069142971.76,725332011.68,17091116.01,35710.39,109709.76,185428.37,192317167.60,14935618.97,48893887.92,38459320.60,1748415.39,2831295.25,5429.49,3380681.25,,34050342.10,4881661.79,1745331350.32,431666260.51,17742220.89,20422032.55
1701820800000,2023-12-06,Total Asset Value (Dollar),914260.97,15482776.99,19635097.30,29292194684.27,92229990636.33,2178568237.66,7757832.83,,33005247.30,1219176.48,11333175.00,133975333.18,97723074.24,4390996715.66,3673302774.51,34802663.17,669655735.51,54264.29,1068142383.76,725332011.68,25736625.73,35374.69,109288.82,184678.94,191800898.01,14898902.70,49071855.85,38460351.10,1742980.24,2840275.11,5407.54,3380230.36,,34035415.32,13496732.08,1762220378.41,437502605.80,17694062.22,20429833.24
1701907200000,2023-12-07,Total Asset Value (Dollar),814260.97,15484641.32,19480413.54,29376260438.15,92228906253.19,2136399142.71,7766967.74,,33006083.35,1196156.22,11304625.50,133637834.75,97734632.16,4390996715.66,3678829011.93,34809624.18,649655735.51,54287.70,1070141890.76,725332019.58,25740310.80,35353.33,109281.55,184213.72,191592529.98,14890772.07,45556395.14,38475742.57,1737849.80,2855588.80,5393.92,3373978.46,,34120872.95,26382304.34,1765943677.17,436886076.04,17681659.01,20466849.41
1701993600000,2023-12-08,Total Asset Value (Dollar),814260.97,15486505.65,19980435.31,29451343808.68,92229847260.67,2103588076.40,7806085.82,,33287756.68,1198781.55,11329437.00,133931144.34,98002181.44,4390996715.66,3678288544.86,34805967.44,649655735.51,54241.52,1070141890.76,725332019.58,25739255.78,35584.90,109239.07,184618.03,191362180.69,14914635.76,44991481.76,38524174.18,1742041.75,2850317.61,5405.76,3373163.29,,34146922.29,76613429.47,1771894269.36,441184807.95,17671070.83,20597360.70
1702080000000,2023-12-09,Total Asset Value (Dollar),814260.97,16026074.72,19943047.89,29498459137.36,92229002009.18,2103588076.40,7821715.40,,33221696.70,1196461.75,11307513.00,133671969.38,98231654.41,4390996715.66,3677347910.88,34800440.55,649655735.51,53966.56,1070141890.76,725332019.58,25719348.95,35502.21,109313.08,184260.77,190800471.85,14889454.60,45386023.52,38619885.82,1736636.70,2838614.62,5395.30,3363883.57,,33946995.16,76465172.08,1772732927.07,441692680.43,17644031.79,20743641.13
1702166400000,2023-12-10,Total Asset Value (Dollar),814260.97,16028010.78,19950267.38,29455565495.65,92229146809.19,2103588076.40,7844024.42,,33221698.28,1196863.93,11311314.00,133716902.97,98231654.41,4390996715.66,3674591311.61,34797450.35,649655735.51,53963.27,1070141890.76,725332019.58,34358263.91,35502.21,109315.77,184322.71,190595308.77,14889455.85,50266491.81,38737304.76,1736452.24,2838729.74,5397.11,3363896.25,,33974566.95,76490875.71,1788696714.67,441734277.20,18080767.19,23307084.12
1702252800000,2023-12-11,Total Asset Value (Dollar),814260.97,16029986.95,19885541.15,29094157384.14,93228838576.13,2054614534.10,7841783.88,,33218050.89,1180036.40,11303208.00,133621077.74,46484912.66,4390996715.66,3659169901.19,34793891.69,649655735.51,53981.33,1070141890.76,725332019.58,34344951.43,35506.23,109354.68,184190.62,184463635.94,14893438.87,55209454.84,38738034.14,1737072.59,2840651.10,5393.24,3364152.10,,33957091.01,76436060.23,1772410318.80,439825336.35,18012916.56,26404072.24
1702339200000,2023-12-12,Total Asset Value (Dollar),814260.97,16031923.01,19777388.29,28994528790.58,93228845572.79,2050224569.59,7844172.38,,33086189.20,1180089.02,11303712.00,133627035.79,,4390996715.66,3640216126.56,34787674.77,649655735.51,54060.44,1073141880.76,725332019.58,42938000.50,35426.11,109395.33,184198.83,180511819.78,14864705.85,55950873.86,38739250.56,1737289.12,2834899.53,5393.49,3345012.47,,33977500.70,76439468.45,1796582340.20,443989701.34,17841556.29,26815304.70
1702425600000,2023-12-13,Total Asset Value (Dollar),814260.97,16339765.30,19838196.91,29235069027.83,93230177666.35,1860792696.15,7935816.52,,33163029.77,1183717.38,11608430.50,134037892.65,,4390996715.66,3634608274.78,34784638.89,649655735.51,41828.30,1346894739.40,725332019.58,51480093.48,35428.24,109337.41,184765.18,180620065.24,14894669.31,53884618.61,38740560.10,1739528.03,2819170.36,5410.07,3355642.82,,33916504.38,76674493.34,1790064687.32,439927152.12,17847059.78,26616879.17
1702512000000,2023-12-14,Total Asset Value (Dollar),824399.44,16341788.82,19829415.69,29390229054.71,93233589899.16,1856157182.71,7943240.66,,33409667.21,1192939.57,11698870.25,135082164.18,,4390996715.66,3648014616.19,34778118.89,649655735.51,42027.61,1396067781.70,725332019.58,60148715.87,35974.07,109957.21,186204.66,181028078.69,14989730.21,53797354.87,38753911.97,1746809.80,2845547.73,5452.22,3381618.62,,33780985.41,77271854.20,1806435297.52,438260664.95,17958148.40,26961628.93
1702598400000,2023-12-15,Total Asset Value (Dollar),824399.44,18205935.07,20173718.51,29479533863.89,93238066895.35,1806189822.56,8147000.98,,33466135.11,1205168.61,11818689.75,136465671.91,,4390996715.66,3636328388.15,34608457.07,649462235.51,42211.76,1656786753.70,725332019.58,24509689.71,36166.88,110801.01,188111.76,181011157.51,15038136.84,54282340.56,38780358.37,1767232.38,2847824.47,5508.06,3379103.64,,33780637.46,78283152.85,1807658458.07,437927759.86,18056379.81,27905078.50
1702684800000,2023-12-16,Total Asset Value (Dollar),824399.44,19319088.81,20006334.04,29508451844.78,93234411081.03,1806189822.56,8157047.65,,33475013.72,1195169.14,11720628.25,135333395.08,,4390996715.66,3680771604.81,34762854.15,649462235.51,42073.98,1656786753.70,725332019.58,24502252.72,36154.43,110968.90,186550.97,180846788.13,14984484.97,54056010.62,38781503.33,1754900.75,2835213.35,5462.36,3371456.99,,33747033.06,77633625.40,1799890506.14,436793894.90,18099538.32,28898264.86
1702771200000,2023-12-17,Total Asset Value (Dollar),824399.44,20784095.09,20034078.54,29446199509.03,93235015869.70,1806189822.56,8160154.68,,33475352.72,1196826.59,11736882.25,135521073.51,,4390996715.66,3673215173.62,34755304.86,649462235.51,42081.72,1656786753.70,725332019.58,33125903.81,36154.43,110968.90,186809.68,180967495.29,14984846.43,54644155.79,38782711.06,1754898.91,2835213.36,5469.93,3371452.68,,33744540.77,77741286.60,1799476787.06,439154142.65,18145858.31,28466219.82
